iter	RMSE
0	0.1382905339
1	0.1346129021
2	0.1310087936
3	0.1274278443
4	0.1240200901
5	0.1206257708
6	0.117419076
7	0.1142525063
8	0.1112258233
9	0.1082966952
10	0.1054131479
11	0.1025989444
12	0.09988750671
13	0.09728731584
14	0.09476518819
15	0.09236245859
16	0.08996609096
17	0.08765218882
18	0.08542236513
19	0.08327039354
20	0.08119245056
21	0.07918820374
22	0.07724926709
23	0.07535289061
24	0.07353367286
25	0.07177002229
26	0.07007439448
27	0.06844557867
28	0.06685329611
29	0.06532108372
30	0.06383156881
31	0.06239499459
32	0.06102181424
33	0.05968393545
34	0.05840742622
35	0.05717093234
36	0.05596317215
37	0.05482376936
38	0.05371264212
39	0.05265295428
40	0.05159501592
41	0.05061796479
42	0.04966604067
43	0.04875342075
44	0.04785851624
45	0.04698308192
46	0.0461745299
47	0.04538049454
48	0.04461117167
49	0.04388766898
50	0.043206792
51	0.04252933202
52	0.04187749209
53	0.04125651369
54	0.04065436949
55	0.04008467999
56	0.03953683076
57	0.03902879558
58	0.03851830976
59	0.0380458778
60	0.03758108414
61	0.03713403157
62	0.03671030204
63	0.03630770159
64	0.03592475597
65	0.03555574784
66	0.03519768817
67	0.03485544399
68	0.03452213753
69	0.03421311006
70	0.03391817961
71	0.0336310425
72	0.03335973364
73	0.0330883096
74	0.03284064364
75	0.03260038757
76	0.0323749277
77	0.03215657971
78	0.03194953343
79	0.03175907867
80	0.03157242925
81	0.03138760048
82	0.03121523242
83	0.03105452219
84	0.03089840401
85	0.03074696568
86	0.03059922626
87	0.03047161067
88	0.03034212718
89	0.03021158779
90	0.03009324205
91	0.02998087686
92	0.02987477804
93	0.02977299748
94	0.02967539251
95	0.02958340677
96	0.02949362088
97	0.0294056981
98	0.02932177496
99	0.02924439864
100	0.02916467344
101	0.02909711134
102	0.02903166352
103	0.02896938743
104	0.02890480626
105	0.02884416391
106	0.02878330601
107	0.0287097821
108	0.02864572167
109	0.0285766719
110	0.02851608639
111	0.02845644458
112	0.02839914623
113	0.02834003084
114	0.02828636673
115	0.02823362516
116	0.02818251502
117	0.02813774836
118	0.02809643042
119	0.02805746483
120	0.02801217434
121	0.02797417332
122	0.02793732794
123	0.0278980716
124	0.02786403626
125	0.02783177416
126	0.02780200589
127	0.02777517761
128	0.02775142048
129	0.02772304254
130	0.02769694846
131	0.02767313448
132	0.02764805702
133	0.02762623918
134	0.02760643971
135	0.02758355986
136	0.02756188361
137	0.0275368488
138	0.02751711188
139	0.02749727289
140	0.02748229232
141	0.02746457846
142	0.02744576282
143	0.02743042083
144	0.02741088644
145	0.02739088968
146	0.02736282362
147	0.02734571797
148	0.02733005729
149	0.02730784228
150	0.02728852813
151	0.02726971106
152	0.02725224079
153	0.02723390458
154	0.02722040261
155	0.02720235509
156	0.02718814996
157	0.02716918219
158	0.02715728762
159	0.02714309031
160	0.02712780618
161	0.02711137298
162	0.02709668997
163	0.02708787686
164	0.02707717769
165	0.02706657916
166	0.02705444271
167	0.02704192061
168	0.02703143008
169	0.02702133118
170	0.02701169616
171	0.02700207251
172	0.02699051038
173	0.02697908545
174	0.02696867076
175	0.0269582842
176	0.02694685681
177	0.02693520103
178	0.02692653019
179	0.02691602353
180	0.02690634528
181	0.02689721417
182	0.02688677682
183	0.02687950904
184	0.0268704051
185	0.0268575984
186	0.02684900486
187	0.02683792315
188	0.0268259578
189	0.02681731317
190	0.02680748057
191	0.02679600716
192	0.02678968697
193	0.0267808424
194	0.02677053894
195	0.02676589276
196	0.02675724452
197	0.02674530444
198	0.02673356314
199	0.02672372197
200	0.02671319407
201	0.02670384148
202	0.02669576735
203	0.02668886822
204	0.02668009862
205	0.02667156178
206	0.02666347918
207	0.02665589116
208	0.02664946479
209	0.02664635751
210	0.02664019936
211	0.0266370478
212	0.02663228672
213	0.02662501778
214	0.02661945842
215	0.02661282644
216	0.02660406024
217	0.02659820184
218	0.02659014411
219	0.02658566488
220	0.02658025901
221	0.02656842225
222	0.02656010605
223	0.02655014895
224	0.02654345528
225	0.02653515621
226	0.02653076186
227	0.02652323191
228	0.02651519312
229	0.02650916385
230	0.02650337758
231	0.02649580797
232	0.02648961499
233	0.02648382907
234	0.02647988896
235	0.02647604664
236	0.02646834261
237	0.02646108
238	0.02645744467
239	0.02645019469
240	0.0264460344
241	0.02644168287
242	0.02643456449
